ID;Radius;Mass;Energy;Nichel
258;25.0;12.0;0.50;0.080
259;25.0;12.0;0.50;0.090
260;25.0;12.0;0.50;0.100
261;1.0;14.0;0.50;0.010
262;1.0;14.0;0.50;0.020
263;1.0;14.0;0.50;0.030
264;1.0;14.0;0.50;0.040
265;1.0;14.0;0.50;0.050
266;1.0;14.0;0.50;0.060
267;1.0;14.0;0.50;0.070
268;1.0;14.0;0.50;0.080
269;1.0;14.0;0.50;0.090
270;1.0;14.0;0.50;0.100
271;3.0;14.0;0.50;0.010
272;3.0;14.0;0.50;0.020
273;3.0;14.0;0.50;0.030
274;3.0;14.0;0.50;0.040
275;3.0;14.0;0.50;0.050
276;3.0;14.0;0.50;0.060
277;3.0;14.0;0.50;0.070
278;3.0;14.0;0.50;0.080
279;3.0;14.0;0.50;0.090
280;3.0;14.0;0.50;0.100
281;5.0;14.0;0.50;0.010
282;5.0;14.0;0.50;0.020
283;5.0;14.0;0.50;0.030
284;5.0;14.0;0.50;0.040
285;5.0;14.0;0.50;0.050
286;5.0;14.0;0.50;0.060
287;5.0;14.0;0.50;0.070
288;5.0;14.0;0.50;0.080
289;5.0;14.0;0.50;0.090
290;5.0;14.0;0.50;0.100
291;7.0;14.0;0.50;0.010
292;7.0;14.0;0.50;0.020
293;7.0;14.0;0.50;0.030
294;7.0;14.0;0.50;0.040
295;7.0;14.0;0.50;0.050
296;7.0;14.0;0.50;0.060
297;7.0;14.0;0.50;0.070
298;7.0;14.0;0.50;0.080
299;7.0;14.0;0.50;0.090
300;7.0;14.0;0.50;0.100
301;9.0;14.0;0.50;0.010
302;9.0;14.0;0.50;0.020
303;9.0;14.0;0.50;0.030
304;9.0;14.0;0.50;0.040
305;9.0;14.0;0.50;0.050
306;9.0;14.0;0.50;0.060
307;9.0;14.0;0.50;0.070
308;9.0;14.0;0.50;0.080
309;9.0;14.0;0.50;0.090
310;9.0;14.0;0.50;0.100
311;11.0;14.0;0.50;0.010
312;11.0;14.0;0.50;0.020
313;11.0;14.0;0.50;0.030
314;11.0;14.0;0.50;0.040
315;11.0;14.0;0.50;0.050
316;11.0;14.0;0.50;0.060
317;11.0;14.0;0.50;0.070
318;11.0;14.0;0.50;0.080
319;11.0;14.0;0.50;0.090
320;11.0;14.0;0.50;0.100
321;13.0;14.0;0.50;0.010
322;13.0;14.0;0.50;0.020
323;13.0;14.0;0.50;0.030
324;13.0;14.0;0.50;0.040
325;13.0;14.0;0.50;0.050
326;13.0;14.0;0.50;0.060
327;13.0;14.0;0.50;0.070
328;13.0;14.0;0.50;0.080
329;13.0;14.0;0.50;0.090
330;13.0;14.0;0.50;0.100
331;15.0;14.0;0.50;0.010
332;15.0;14.0;0.50;0.020
333;15.0;14.0;0.50;0.030
334;15.0;14.0;0.50;0.040
335;15.0;14.0;0.50;0.050
336;15.0;14.0;0.50;0.060
337;15.0;14.0;0.50;0.070
338;15.0;14.0;0.50;0.080
339;15.0;14.0;0.50;0.090
340;15.0;14.0;0.50;0.100
341;17.0;14.0;0.50;0.010
342;17.0;14.0;0.50;0.020
343;17.0;14.0;0.50;0.030
344;17.0;14.0;0.50;0.040
345;17.0;14.0;0.50;0.050
346;17.0;14.0;0.50;0.060
347;17.0;14.0;0.50;0.070
348;17.0;14.0;0.50;0.080
349;17.0;14.0;0.50;0.090
350;17.0;14.0;0.50;0.100
351;19.0;14.0;0.50;0.010
352;19.0;14.0;0.50;0.020
353;19.0;14.0;0.50;0.030
354;19.0;14.0;0.50;0.040
355;19.0;14.0;0.50;0.050
356;19.0;14.0;0.50;0.060
357;19.0;14.0;0.50;0.070
358;19.0;14.0;0.50;0.080
359;19.0;14.0;0.50;0.090
360;19.0;14.0;0.50;0.100
361;21.0;14.0;0.50;0.010
362;21.0;14.0;0.50;0.020
363;21.0;14.0;0.50;0.030
364;21.0;14.0;0.50;0.040
365;21.0;14.0;0.50;0.050
366;21.0;14.0;0.50;0.060
367;21.0;14.0;0.50;0.070
368;21.0;14.0;0.50;0.080
369;21.0;14.0;0.50;0.090
370;21.0;14.0;0.50;0.100
371;23.0;14.0;0.50;0.010
372;23.0;14.0;0.50;0.020
373;23.0;14.0;0.50;0.030
374;23.0;14.0;0.50;0.040
375;23.0;14.0;0.50;0.050
376;23.0;14.0;0.50;0.060
377;23.0;14.0;0.50;0.070
378;23.0;14.0;0.50;0.080
379;23.0;14.0;0.50;0.090
380;23.0;14.0;0.50;0.100
381;25.0;14.0;0.50;0.010
382;25.0;14.0;0.50;0.020
383;25.0;14.0;0.50;0.030
384;25.0;14.0;0.50;0.040
385;25.0;14.0;0.50;0.050
386;25.0;14.0;0.50;0.060
387;25.0;14.0;0.50;0.070
388;25.0;14.0;0.50;0.080
389;25.0;14.0;0.50;0.090
390;25.0;14.0;0.50;0.100
391;1.0;16.0;0.50;0.010
392;1.0;16.0;0.50;0.020
393;1.0;16.0;0.50;0.030
394;1.0;16.0;0.50;0.040
395;1.0;16.0;0.50;0.050
396;1.0;16.0;0.50;0.060
397;1.0;16.0;0.50;0.070
398;1.0;16.0;0.50;0.080
399;1.0;16.0;0.50;0.090
400;1.0;16.0;0.50;0.100
401;3.0;16.0;0.50;0.010
402;3.0;16.0;0.50;0.020
403;3.0;16.0;0.50;0.030
404;3.0;16.0;0.50;0.040
405;3.0;16.0;0.50;0.050
406;3.0;16.0;0.50;0.060
407;3.0;16.0;0.50;0.070
408;3.0;16.0;0.50;0.080
409;3.0;16.0;0.50;0.090
410;3.0;16.0;0.50;0.100
411;5.0;16.0;0.50;0.010
412;5.0;16.0;0.50;0.020
413;5.0;16.0;0.50;0.030
414;5.0;16.0;0.50;0.040
415;5.0;16.0;0.50;0.050
416;5.0;16.0;0.50;0.060
417;5.0;16.0;0.50;0.070
418;5.0;16.0;0.50;0.080
419;5.0;16.0;0.50;0.090
420;5.0;16.0;0.50;0.100
421;7.0;16.0;0.50;0.010
422;7.0;16.0;0.50;0.020
423;7.0;16.0;0.50;0.030
424;7.0;16.0;0.50;0.040
425;7.0;16.0;0.50;0.050
426;7.0;16.0;0.50;0.060
427;7.0;16.0;0.50;0.070
428;7.0;16.0;0.50;0.080
429;7.0;16.0;0.50;0.090
430;7.0;16.0;0.50;0.100
431;9.0;16.0;0.50;0.010
432;9.0;16.0;0.50;0.020
433;9.0;16.0;0.50;0.030
434;9.0;16.0;0.50;0.040
435;9.0;16.0;0.50;0.050
436;9.0;16.0;0.50;0.060
437;9.0;16.0;0.50;0.070
438;9.0;16.0;0.50;0.080
439;9.0;16.0;0.50;0.090
440;9.0;16.0;0.50;0.100
441;11.0;16.0;0.50;0.010
442;11.0;16.0;0.50;0.020
443;11.0;16.0;0.50;0.030
444;11.0;16.0;0.50;0.040
445;11.0;16.0;0.50;0.050
446;11.0;16.0;0.50;0.060
447;11.0;16.0;0.50;0.070
448;11.0;16.0;0.50;0.080
449;11.0;16.0;0.50;0.090
450;11.0;16.0;0.50;0.100
451;13.0;16.0;0.50;0.010
452;13.0;16.0;0.50;0.020
453;13.0;16.0;0.50;0.030
454;13.0;16.0;0.50;0.040
455;13.0;16.0;0.50;0.050
456;13.0;16.0;0.50;0.060
457;13.0;16.0;0.50;0.070
458;13.0;16.0;0.50;0.080
459;13.0;16.0;0.50;0.090
460;13.0;16.0;0.50;0.100
461;15.0;16.0;0.50;0.010
462;15.0;16.0;0.50;0.020
463;15.0;16.0;0.50;0.030
464;15.0;16.0;0.50;0.040
465;15.0;16.0;0.50;0.050
466;15.0;16.0;0.50;0.060
467;15.0;16.0;0.50;0.070
468;15.0;16.0;0.50;0.080
469;15.0;16.0;0.50;0.090
470;15.0;16.0;0.50;0.100
471;17.0;16.0;0.50;0.010
472;17.0;16.0;0.50;0.020
473;17.0;16.0;0.50;0.030
474;17.0;16.0;0.50;0.040
475;17.0;16.0;0.50;0.050
476;17.0;16.0;0.50;0.060
477;17.0;16.0;0.50;0.070
478;17.0;16.0;0.50;0.080
479;17.0;16.0;0.50;0.090
480;17.0;16.0;0.50;0.100
481;19.0;16.0;0.50;0.010
482;19.0;16.0;0.50;0.020
483;19.0;16.0;0.50;0.030
484;19.0;16.0;0.50;0.040
485;19.0;16.0;0.50;0.050
486;19.0;16.0;0.50;0.060
487;19.0;16.0;0.50;0.070
488;19.0;16.0;0.50;0.080
489;19.0;16.0;0.50;0.090
490;19.0;16.0;0.50;0.100
491;21.0;16.0;0.50;0.010
492;21.0;16.0;0.50;0.020
493;21.0;16.0;0.50;0.030
494;21.0;16.0;0.50;0.040
495;21.0;16.0;0.50;0.050
496;21.0;16.0;0.50;0.060
497;21.0;16.0;0.50;0.070
498;21.0;16.0;0.50;0.080
499;21.0;16.0;0.50;0.090
500;21.0;16.0;0.50;0.100
501;23.0;16.0;0.50;0.010
502;23.0;16.0;0.50;0.020
503;23.0;16.0;0.50;0.030
504;23.0;16.0;0.50;0.040
505;23.0;16.0;0.50;0.050
506;23.0;16.0;0.50;0.060
507;23.0;16.0;0.50;0.070
508;23.0;16.0;0.50;0.080
509;23.0;16.0;0.50;0.090
510;23.0;16.0;0.50;0.100
511;25.0;16.0;0.50;0.010
512;25.0;16.0;0.50;0.020
513;25.0;16.0;0.50;0.030
514;25.0;16.0;0.50;0.040
515;25.0;16.0;0.50;0.050
516;25.0;16.0;0.50;0.060
517;25.0;16.0;0.50;0.070
518;25.0;16.0;0.50;0.080
519;25.0;16.0;0.50;0.090
520;25.0;16.0;0.50;0.100
521;1.0;18.0;0.50;0.010
522;1.0;18.0;0.50;0.020
523;1.0;18.0;0.50;0.030
524;1.0;18.0;0.50;0.040
525;1.0;18.0;0.50;0.050
526;1.0;18.0;0.50;0.060
527;1.0;18.0;0.50;0.070
528;1.0;18.0;0.50;0.080
529;1.0;18.0;0.50;0.090
530;1.0;18.0;0.50;0.100
531;3.0;18.0;0.50;0.010
532;3.0;18.0;0.50;0.020
533;3.0;18.0;0.50;0.030
534;3.0;18.0;0.50;0.040
535;3.0;18.0;0.50;0.050
536;3.0;18.0;0.50;0.060
537;3.0;18.0;0.50;0.070
538;3.0;18.0;0.50;0.080
539;3.0;18.0;0.50;0.090
540;3.0;18.0;0.50;0.100
541;5.0;18.0;0.50;0.010
542;5.0;18.0;0.50;0.020
543;5.0;18.0;0.50;0.030
544;5.0;18.0;0.50;0.040
545;5.0;18.0;0.50;0.050
546;5.0;18.0;0.50;0.060
547;5.0;18.0;0.50;0.070
548;5.0;18.0;0.50;0.080
549;5.0;18.0;0.50;0.090
550;5.0;18.0;0.50;0.100
551;7.0;18.0;0.50;0.010
552;7.0;18.0;0.50;0.020
553;7.0;18.0;0.50;0.030
554;7.0;18.0;0.50;0.040
555;7.0;18.0;0.50;0.050
556;7.0;18.0;0.50;0.060
557;7.0;18.0;0.50;0.070
558;7.0;18.0;0.50;0.080
559;7.0;18.0;0.50;0.090
560;7.0;18.0;0.50;0.100
561;9.0;18.0;0.50;0.010
562;9.0;18.0;0.50;0.020
563;9.0;18.0;0.50;0.030
564;9.0;18.0;0.50;0.040
565;9.0;18.0;0.50;0.050
566;9.0;18.0;0.50;0.060
567;9.0;18.0;0.50;0.070
568;9.0;18.0;0.50;0.080
569;9.0;18.0;0.50;0.090
570;9.0;18.0;0.50;0.100
571;11.0;18.0;0.50;0.010
572;11.0;18.0;0.50;0.020
573;11.0;18.0;0.50;0.030
574;11.0;18.0;0.50;0.040
575;11.0;18.0;0.50;0.050
576;11.0;18.0;0.50;0.060
577;11.0;18.0;0.50;0.070
578;11.0;18.0;0.50;0.080
579;11.0;18.0;0.50;0.090
580;11.0;18.0;0.50;0.100
581;13.0;18.0;0.50;0.010
582;13.0;18.0;0.50;0.020
583;13.0;18.0;0.50;0.030
584;13.0;18.0;0.50;0.040
585;13.0;18.0;0.50;0.050
586;13.0;18.0;0.50;0.060
587;13.0;18.0;0.50;0.070
588;13.0;18.0;0.50;0.080
589;13.0;18.0;0.50;0.090
590;13.0;18.0;0.50;0.100
591;15.0;18.0;0.50;0.010
592;15.0;18.0;0.50;0.020
593;15.0;18.0;0.50;0.030
594;15.0;18.0;0.50;0.040
595;15.0;18.0;0.50;0.050
596;15.0;18.0;0.50;0.060
597;15.0;18.0;0.50;0.070
598;15.0;18.0;0.50;0.080
599;15.0;18.0;0.50;0.090
600;15.0;18.0;0.50;0.100
601;17.0;18.0;0.50;0.010
602;17.0;18.0;0.50;0.020
603;17.0;18.0;0.50;0.030
604;17.0;18.0;0.50;0.040
605;17.0;18.0;0.50;0.050
606;17.0;18.0;0.50;0.060
607;17.0;18.0;0.50;0.070
608;17.0;18.0;0.50;0.080
609;17.0;18.0;0.50;0.090
610;17.0;18.0;0.50;0.100
611;19.0;18.0;0.50;0.010
612;19.0;18.0;0.50;0.020
613;19.0;18.0;0.50;0.030
614;19.0;18.0;0.50;0.040
615;19.0;18.0;0.50;0.050
616;19.0;18.0;0.50;0.060
617;19.0;18.0;0.50;0.070
618;19.0;18.0;0.50;0.080
619;19.0;18.0;0.50;0.090
620;19.0;18.0;0.50;0.100
621;21.0;18.0;0.50;0.010
622;21.0;18.0;0.50;0.020
623;21.0;18.0;0.50;0.030
624;21.0;18.0;0.50;0.040
625;21.0;18.0;0.50;0.050
626;21.0;18.0;0.50;0.060
627;21.0;18.0;0.50;0.070
628;21.0;18.0;0.50;0.080
629;21.0;18.0;0.50;0.090
630;21.0;18.0;0.50;0.100
631;23.0;18.0;0.50;0.010
632;23.0;18.0;0.50;0.020
633;23.0;18.0;0.50;0.030
634;23.0;18.0;0.50;0.040
635;23.0;18.0;0.50;0.050
636;23.0;18.0;0.50;0.060
637;23.0;18.0;0.50;0.070
638;23.0;18.0;0.50;0.080
639;23.0;18.0;0.50;0.090
640;23.0;18.0;0.50;0.100
641;25.0;18.0;0.50;0.010
642;25.0;18.0;0.50;0.020
643;25.0;18.0;0.50;0.030
644;25.0;18.0;0.50;0.040
645;25.0;18.0;0.50;0.050
646;25.0;18.0;0.50;0.060
647;25.0;18.0;0.50;0.070
648;25.0;18.0;0.50;0.080
649;25.0;18.0;0.50;0.090
650;25.0;18.0;0.50;0.100
651;1.0;20.0;0.50;0.010
652;1.0;20.0;0.50;0.020
653;1.0;20.0;0.50;0.030
654;1.0;20.0;0.50;0.040
655;1.0;20.0;0.50;0.050
656;1.0;20.0;0.50;0.060
657;1.0;20.0;0.50;0.070
658;1.0;20.0;0.50;0.080
659;1.0;20.0;0.50;0.090
660;1.0;20.0;0.50;0.100
661;3.0;20.0;0.50;0.010
662;3.0;20.0;0.50;0.020
663;3.0;20.0;0.50;0.030
664;3.0;20.0;0.50;0.040
665;3.0;20.0;0.50;0.050
666;3.0;20.0;0.50;0.060
667;3.0;20.0;0.50;0.070
668;3.0;20.0;0.50;0.080
669;3.0;20.0;0.50;0.090
670;3.0;20.0;0.50;0.100
671;5.0;20.0;0.50;0.010
672;5.0;20.0;0.50;0.020
673;5.0;20.0;0.50;0.030
674;5.0;20.0;0.50;0.040
675;5.0;20.0;0.50;0.050
676;5.0;20.0;0.50;0.060
677;5.0;20.0;0.50;0.070
678;5.0;20.0;0.50;0.080
679;5.0;20.0;0.50;0.090
680;5.0;20.0;0.50;0.100
681;7.0;20.0;0.50;0.010
682;7.0;20.0;0.50;0.020
683;7.0;20.0;0.50;0.030
684;7.0;20.0;0.50;0.040
685;7.0;20.0;0.50;0.050
686;7.0;20.0;0.50;0.060
687;7.0;20.0;0.50;0.070
688;7.0;20.0;0.50;0.080
689;7.0;20.0;0.50;0.090
690;7.0;20.0;0.50;0.100
691;9.0;20.0;0.50;0.010
692;9.0;20.0;0.50;0.020
693;9.0;20.0;0.50;0.030
694;9.0;20.0;0.50;0.040
695;9.0;20.0;0.50;0.050
696;9.0;20.0;0.50;0.060
697;9.0;20.0;0.50;0.070
698;9.0;20.0;0.50;0.080
699;9.0;20.0;0.50;0.090
700;9.0;20.0;0.50;0.100
701;11.0;20.0;0.50;0.010
702;11.0;20.0;0.50;0.020
703;11.0;20.0;0.50;0.030
704;11.0;20.0;0.50;0.040
705;11.0;20.0;0.50;0.050
706;11.0;20.0;0.50;0.060
707;11.0;20.0;0.50;0.070
708;11.0;20.0;0.50;0.080
709;11.0;20.0;0.50;0.090
710;11.0;20.0;0.50;0.100
711;13.0;20.0;0.50;0.010
712;13.0;20.0;0.50;0.020
713;13.0;20.0;0.50;0.030
714;13.0;20.0;0.50;0.040
715;13.0;20.0;0.50;0.050
716;13.0;20.0;0.50;0.060
717;13.0;20.0;0.50;0.070
718;13.0;20.0;0.50;0.080
719;13.0;20.0;0.50;0.090
720;13.0;20.0;0.50;0.100
721;15.0;20.0;0.50;0.010
722;15.0;20.0;0.50;0.020
723;15.0;20.0;0.50;0.030
724;15.0;20.0;0.50;0.040
725;15.0;20.0;0.50;0.050
726;15.0;20.0;0.50;0.060
727;15.0;20.0;0.50;0.070
728;15.0;20.0;0.50;0.080
729;15.0;20.0;0.50;0.090
730;15.0;20.0;0.50;0.100
731;17.0;20.0;0.50;0.010
732;17.0;20.0;0.50;0.020
733;17.0;20.0;0.50;0.030
734;17.0;20.0;0.50;0.040
735;17.0;20.0;0.50;0.050
736;17.0;20.0;0.50;0.060
737;17.0;20.0;0.50;0.070
738;17.0;20.0;0.50;0.080
739;17.0;20.0;0.50;0.090
740;17.0;20.0;0.50;0.100
741;19.0;20.0;0.50;0.010
742;19.0;20.0;0.50;0.020
743;19.0;20.0;0.50;0.030
744;19.0;20.0;0.50;0.040
745;19.0;20.0;0.50;0.050
746;19.0;20.0;0.50;0.060
747;19.0;20.0;0.50;0.070
748;19.0;20.0;0.50;0.080
749;19.0;20.0;0.50;0.090
750;19.0;20.0;0.50;0.100
751;21.0;20.0;0.50;0.010
752;21.0;20.0;0.50;0.020
753;21.0;20.0;0.50;0.030
754;21.0;20.0;0.50;0.040
755;21.0;20.0;0.50;0.050
756;21.0;20.0;0.50;0.060
757;21.0;20.0;0.50;0.070
758;21.0;20.0;0.50;0.080
759;21.0;20.0;0.50;0.090
760;21.0;20.0;0.50;0.100
761;23.0;20.0;0.50;0.010
762;23.0;20.0;0.50;0.020
763;23.0;20.0;0.50;0.030
764;23.0;20.0;0.50;0.040
765;23.0;20.0;0.50;0.050
766;23.0;20.0;0.50;0.060
767;23.0;20.0;0.50;0.070
768;23.0;20.0;0.50;0.080
769;23.0;20.0;0.50;0.090
770;23.0;20.0;0.50;0.100
771;25.0;20.0;0.50;0.010
772;25.0;20.0;0.50;0.020
773;25.0;20.0;0.50;0.030
774;25.0;20.0;0.50;0.040
775;25.0;20.0;0.50;0.050
